seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
299,Player 2,10,1,427.2,26,5,2,0.0,1
300,Player 1,21,0,0.0,35,7,3,0.0,2
300,Player 2,21,1,-24.16,18,8,3,0.0,2
301,Player 1,44,0,-88.0,49,9,7,0.0,1
301,Player 2,44,1,214.37,66,9,6,1.0,1
302,Player 1,24,0,-4.0,18,7,4,0.0,1
302,Player 2,24,1,47.59,43,5,2,0.0,1
303,Player 1,29,0,-35.0,59,8,4,1.0,1
303,Player 2,29,1,58.66,108,10,5,1.0,1
304,Player 1,48,0,-12.0,78,9,6,0.0,1
304,Player 2,48,1,126.68,55,8,6,0.0,1
305,Player 1,49,0,208.0,74,10,8,1.0,2
305,Player 2,49,1,-8.0,148,11,6,1.0,2
306,Player 1,9,0,-37.22,22,7,1,0.0,1
306,Player 2,9,1,238.05,0,5,1,0.0,1
307,Player 1,33,0,93.79,52,9,4,0.0,2
307,Player 2,33,1,-18.0,208,10,4,1.0,2
308,Player 1,46,0,25.89,85,7,6,0.0,2
308,Player 2,46,1,-61.87,58,12,6,2.0,2
309,Player 1,19,0,-6.0,39,7,2,0.0,1
309,Player 2,19,1,154.94,54,6,2,0.0,1
310,Player 1,27,0,222.0,22,7,3,0.0,2
310,Player 2,27,1,-5.41,58,8,3,1.0,2
311,Player 1,21,0,-14.0,28,8,3,0.0,1
311,Player 2,21,1,36.08,22,7,3,1.0,1
312,Player 1,25,0,-10.0,47,7,3,0.0,1
312,Player 2,25,1,249.4,25,8,3,1.0,1
313,Player 1,27,0,121.29,12,6,2,0.0,2
313,Player 2,27,1,-7.57,0,10,4,2.0,2
314,Player 1,10,0,50.0,0,6,1,1.0,2
314,Player 2,10,1,-5.54,50,6,1,0.0,2
315,Player 1,32,0,-78.0,12,7,3,0.0,1
315,Player 2,32,1,148.97,44,9,4,1.0,1
316,Player 1,38,0,-4.0,64,9,6,1.0,1
316,Player 2,38,1,169.01,52,10,6,1.0,1
317,Player 1,14,0,-6.0,22,5,2,0.0,1
317,Player 2,14,1,105.33,0,6,2,0.0,1
318,Player 1,14,0,57.1,10,6,2,0.0,2
318,Player 2,14,1,-10.94,26,7,2,1.0,2
319,Player 1,18,0,213.44,81,6,3,0.0,2
319,Player 2,18,1,-10.0,28,7,2,0.0,2
320,Player 1,24,0,-14.0,42,8,4,0.0,1
320,Player 2,24,1,249.66,60,6,4,0.0,1
321,Player 1,12,0,-147.72,0,5,1,0.0,1
321,Player 2,12,1,253.04,0,5,2,0.0,1
322,Player 1,29,0,-100.0,8,6,4,0.0,1
322,Player 2,29,1,62.49,100,8,4,0.0,1
323,Player 1,23,0,0.0,24,7,2,0.0,2
323,Player 2,23,1,-46.26,0,6,2,1.0,2
324,Player 1,31,0,-18.0,60,10,5,0.0,1
324,Player 2,31,1,160.53,39,8,4,1.0,1
325,Player 1,16,0,-16.0,16,6,2,0.0,1
325,Player 2,16,1,19.91,20,8,2,1.0,1
326,Player 1,22,0,-14.0,24,6,3,0.0,1
326,Player 2,22,1,160.82,54,8,3,0.0,1
327,Player 1,31,0,20.0,64,7,3,0.0,2
327,Player 2,31,1,-17.82,52,10,4,1.0,2
328,Player 1,25,0,207.44,30,7,4,0.0,2
328,Player 2,25,1,-13.0,79,9,3,1.0,2
329,Player 1,9,0,99.17,10,6,1,0.0,2
329,Player 2,9,1,-8.1,14,4,1,0.0,2
330,Player 1,24,0,106.99,50,8,2,1.0,2
330,Player 2,24,1,-51.07,14,6,2,0.0,2
331,Player 1,23,0,-14.0,58,5,3,0.0,1
331,Player 2,23,1,14.0,0,6,3,0.0,1
332,Player 1,17,0,88.59,18,6,2,0.0,2
332,Player 2,17,1,-12.93,20,7,2,0.0,2
