seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
261,Player 2,72,1,588,280,16,12,2.0,1
262,Player 1,42,0,-9,148,12,7,0.0,1
262,Player 2,42,1,259,49,10,4,0.0,1
263,Player 1,25,0,-35,72,10,3,0.0,1
263,Player 2,25,1,165,47,10,2,0.0,1
264,Player 1,18,0,-10,54,8,2,0.0,1
264,Player 2,18,1,110,24,7,1,0.0,1
265,Player 1,24,0,210,42,9,3,0.0,2
265,Player 2,24,1,-90,32,9,2,2.0,2
266,Player 1,88,0,232,428,13,11,1.0,1
266,Player 2,88,1,878,290,15,11,1.0,1
267,Player 1,95,0,1162,688,12,15,1.0,2
267,Player 2,95,1,548,320,16,16,2.0,2
268,Player 1,22,0,-2,82,7,1,0.0,1
268,Player 2,22,1,102,10,6,3,0.0,1
269,Player 1,22,0,-15,0,9,3,0.0,1
269,Player 2,22,1,85,55,8,3,0.0,1
270,Player 1,43,0,636,122,13,8,1.0,2
270,Player 2,43,1,-26,118,10,5,1.0,2
271,Player 1,16,0,-42,100,8,1,0.0,1
271,Player 2,16,1,152,48,7,2,0.0,1
272,Player 1,32,0,-64,169,11,4,1.0,1
272,Player 2,32,1,604,135,10,6,1.0,1
273,Player 1,27,0,60,4,12,3,1.0,2
273,Player 2,27,1,-30,44,10,4,1.0,2
274,Player 1,18,0,-52,42,10,1,1.0,1
274,Player 2,18,1,62,0,8,3,2.0,1
275,Player 1,45,0,132,136,11,6,1.0,2
275,Player 2,45,1,-22,158,13,6,1.0,2
276,Player 1,42,0,-86,118,14,5,2.0,1
276,Player 2,42,1,416,122,10,7,0.0,1
277,Player 1,19,0,-68,8,7,2,0.0,1
277,Player 2,19,1,218,0,10,3,1.0,1
278,Player 1,51,0,283,162,11,8,0.0,2
278,Player 2,51,1,-3,115,12,7,1.0,2
279,Player 1,27,0,178,84,10,4,0.0,2
279,Player 2,27,1,-88,22,11,4,1.0,2
280,Player 1,23,0,184,46,9,3,2.0,2
280,Player 2,23,1,-14,110,11,3,0.0,2
281,Player 1,22,0,4,36,7,3,0.0,2
281,Player 2,22,1,-24,20,10,3,1.0,2
282,Player 1,17,0,146,0,8,3,0.0,2
282,Player 2,17,1,-46,66,9,2,1.0,2
283,Player 1,37,0,-28,138,10,4,0.0,1
283,Player 2,37,1,348,40,12,5,0.0,1
284,Player 1,18,0,102,38,6,1,0.0,2
284,Player 2,18,1,-12,0,11,2,1.0,2
285,Player 1,14,0,414,26,7,2,0.0,2
285,Player 2,14,1,-174,0,8,1,1.0,2
286,Player 1,51,0,279,117,13,6,1.0,2
286,Player 2,51,1,-19,226,10,5,0.0,2
287,Player 1,47,0,271,82,13,8,1.0,2
287,Player 2,47,1,-21,253,12,7,0.0,2
288,Player 1,30,0,290,106,7,3,0.0,2
288,Player 2,30,1,-80,26,12,4,1.0,2
289,Player 1,20,0,-4,24,11,2,1.0,1
289,Player 2,20,1,54,50,7,2,0.0,1
290,Player 1,19,0,89,0,9,2,0.0,2
290,Player 2,19,1,-9,49,9,2,1.0,2
291,Player 1,16,0,174,44,9,1,1.0,2
291,Player 2,16,1,-14,18,6,2,0.0,2
292,Player 1,26,0,-6,75,10,3,0.0,1
292,Player 2,26,1,446,79,10,5,0.0,1
293,Player 1,24,0,-125,56,8,3,0.0,1
293,Player 2,24,1,205,31,11,3,1.0,1
294,Player 1,68,0,456,348,14,10,1.0,1
294,Player 2,68,1,854,274,14,11,1.0,1
295,Player 1,68,0,645,496,12,11,0.0,2
295,Player 2,68,1,365,181,16,10,2.0,2
296,Player 1,26,0,-74,92,10,4,0.0,1
296,Player 2,26,1,184,68,10,4,1.0,1
297,Player 1,74,0,678,292,11,8,0.0,2
297,Player 2,74,1,-98,200,14,9,1.0,2
298,Player 1,30,0,227,40,11,4,0.0,2
298,Player 2,30,1,-17,107,9,3,0.0,2
299,Player 1,40,0,-71,170,13,6,1.0,1
299,Player 2,40,1,61,89,11,5,1.0,1
300,Player 1,23,0,-4,130,10,3,1.0,1
300,Player 2,23,1,64,6,11,3,1.0,1
301,Player 1,35,0,-5,100,11,3,2.0,1
301,Player 2,35,1,385,115,9,6,0.0,1
302,Player 1,86,0,260,583,15,15,2.0,1
302,Player 2,86,1,1350,393,13,12,1.0,1
303,Player 1,34,0,-23,149,10,5,0.0,1
303,Player 2,34,1,243,136,11,5,0.0,1
304,Player 1,57,0,-99,162,12,7,1.0,1
304,Player 2,57,1,239,213,13,9,0.0,1
305,Player 1,79,0,300,318,14,11,1.0,1
305,Player 2,79,1,710,288,14,11,2.0,1
306,Player 1,15,0,244,0,9,2,0.0,2
306,Player 2,15,1,-14,84,7,2,0.0,2
307,Player 1,31,0,64,30,11,4,1.0,2
307,Player 2,31,1,-34,84,9,2,1.0,2
308,Player 1,32,0,-56,54,12,5,2.0,1
308,Player 2,32,1,196,98,8,5,0.0,1
309,Player 1,42,0,-50,101,10,4,0.0,1
309,Player 2,42,1,450,61,8,6,0.0,1
310,Player 1,28,0,314,100,10,4,1.0,2
310,Player 2,28,1,-14,74,11,4,0.0,2
311,Player 1,140,0,2225,767,14,22,1.0,2
311,Player 2,140,1,2185,822,14,22,1.0,2
312,Player 1,33,0,500,78,9,6,0.0,2
312,Player 2,33,1,-20,108,12,4,2.0,2
313,Player 1,46,0,-75,78,14,7,0.0,1
313,Player 2,46,1,15,153,10,2,0.0,1
314,Player 1,24,0,313,90,10,4,0.0,2
314,Player 2,24,1,-53,83,10,3,1.0,2
315,Player 1,28,0,28,72,9,4,1.0,2
315,Player 2,28,1,-68,0,8,2,0.0,2
316,Player 1,16,0,-18,44,9,2,0.0,1
316,Player 2,16,1,168,36,7,1,0.0,1
317,Player 1,39,0,-11,120,13,5,2.0,1
317,Player 2,39,1,211,219,10,4,0.0,1
318,Player 1,20,0,54,6,9,3,0.0,2
318,Player 2,20,1,-34,0,10,1,1.0,2
319,Player 1,17,0,-82,0,10,2,0.0,1
319,Player 2,17,1,212,8,7,2,0.0,1
320,Player 1,53,0,387,148,12,8,2.0,2
320,Player 2,53,1,-87,165,11,7,1.0,2
321,Player 1,43,0,-16,224,13,5,1.0,1
321,Player 2,43,1,226,178,14,8,1.0,1
322,Player 1,21,0,71,75,10,3,0.0,2
322,Player 2,21,1,-1,86,10,2,0.0,2
323,Player 1,11,0,300,0,6,1,0.0,2
323,Player 2,11,1,-100,0,7,0,0.0,2
324,Player 1,34,0,208,66,9,5,1.0,2
324,Player 2,34,1,-88,114,13,5,1.0,2
325,Player 1,18,0,-30,24,10,2,0.0,1
325,Player 2,18,1,220,74,8,2,0.0,1
326,Player 1,91,0,591,468,12,11,1.0,1
326,Player 2,91,1,619,389,16,13,2.0,1
327,Player 1,26,0,247,86,8,3,0.0,2
327,Player 2,26,1,-57,43,10,3,1.0,2
328,Player 1,36,0,-12,144,11,5,0.0,1
328,Player 2,36,1,592,122,11,6,0.0,1
329,Player 1,29,0,165,51,10,4,0.0,2
329,Player 2,29,1,-35,106,8,2,0.0,2
330,Player 1,43,0,-3,146,10,5,1.0,1
330,Player 2,43,1,163,63,11,7,0.0,1
331,Player 1,20,0,382,57,7,2,0.0,2
331,Player 2,20,1,-12,89,9,1,0.0,2
332,Player 1,28,0,241,111,8,4,2.0,2
332,Player 2,28,1,-61,2,11,4,0.0,2
333,Player 1,24,0,-70,22,8,0,1.0,1
333,Player 2,24,1,200,22,11,4,1.0,1
334,Player 1,92,0,554,555,14,13,0.0,1
334,Player 2,92,1,1056,249,14,14,1.0,1
335,Player 1,79,0,630,394,15,12,2.0,1
335,Player 2,79,1,1080,424,13,14,2.0,1
336,Player 1,11,0,-68,0,7,1,0.0,1
336,Player 2,11,1,138,12,6,1,0.0,1
337,Player 1,27,0,-22,66,9,4,0.0,1
337,Player 2,27,1,62,24,7,3,0.0,1
338,Player 1,69,0,452,273,14,9,2.0,1
338,Player 2,69,1,558,165,14,12,2.0,1
339,Player 1,19,0,-32,0,8,2,0.0,1
339,Player 2,19,1,32,18,10,3,1.0,1
340,Player 1,16,0,68,26,8,1,0.0,2
340,Player 2,16,1,-8,44,5,2,1.0,2
341,Player 1,39,0,529,96,12,7,2.0,2
341,Player 2,39,1,-89,65,9,4,0.0,2
342,Player 1,28,0,-58,44,9,4,0.0,1
342,Player 2,28,1,78,6,10,4,1.0,1
343,Player 1,48,0,362,100,11,7,1.0,2
343,Player 2,48,1,-12,162,13,7,1.0,2
344,Player 1,72,0,263,354,12,10,0.0,2
344,Player 2,72,1,47,207,16,10,1.0,2
345,Player 1,24,0,452,82,9,3,1.0,2
345,Player 2,24,1,-12,104,9,3,0.0,2
346,Player 1,34,0,192,88,11,4,0.0,2
346,Player 2,34,1,-22,170,9,3,1.0,2
347,Player 1,11,0,-50,0,8,1,0.0,1
347,Player 2,11,1,300,0,7,2,0.0,1
348,Player 1,71,0,-21,303,13,11,1.0,1
348,Player 2,71,1,551,292,13,9,1.0,1
349,Player 1,112,0,621,656,13,15,1.0,1
349,Player 2,112,1,1389,527,15,19,2.0,1
350,Player 1,95,0,885,436,17,15,3.0,1
350,Player 2,95,1,1425,371,11,14,0.0,1
351,Player 1,16,0,-5,31,8,2,0.0,1
351,Player 2,16,1,45,16,9,0,1.0,1
352,Player 1,15,0,178,0,8,2,0.0,2
352,Player 2,15,1,-78,28,7,1,0.0,2
353,Player 1,18,0,-33,103,9,1,0.0,1
353,Player 2,18,1,443,30,6,2,0.0,1
354,Player 1,11,0,-58,0,6,0,0.0,1
354,Player 2,11,1,298,22,6,1,1.0,1
355,Player 1,110,0,513,536,14,17,2.0,1
355,Player 2,110,1,1497,609,14,16,2.0,1
356,Player 1,26,0,-25,125,10,4,1.0,1
356,Player 2,26,1,345,70,10,4,1.0,1
357,Player 1,20,0,137,38,8,2,0.0,2
357,Player 2,20,1,-7,25,9,1,0.0,2
358,Player 1,40,0,218,50,12,7,0.0,2
358,Player 2,40,1,-68,148,9,4,0.0,2
359,Player 1,77,0,326,386,13,11,1.0,2
359,Player 2,77,1,84,322,15,10,2.0,2
360,Player 1,17,0,182,0,9,2,0.0,2
360,Player 2,17,1,-22,52,10,2,1.0,2
361,Player 1,34,0,130,94,8,4,1.0,2
361,Player 2,34,1,-70,134,11,4,1.0,2
362,Player 1,24,0,96,30,12,4,1.0,2
362,Player 2,24,1,-56,16,10,3,0.0,2
363,Player 1,52,0,-10,186,13,7,1.0,1
363,Player 2,52,1,100,166,11,6,2.0,1
364,Player 1,26,0,-194,44,10,4,0.0,1
364,Player 2,26,1,114,70,9,4,1.0,1
365,Player 1,37,0,-70,102,11,4,2.0,1
